tweet_id,retweet_count,favorite_count,geo_data,lang_data
869596645499047938,2640,14208,None,en
869227993411051520,3201,18150,None,en
868880397819494401,12267,58014,None,en
868639477480148993,1754,0,None,en
868622495443632128,4474,23656,None,en
868552278524837888,1754,8972,None,en
867900495410671616,3574,21620,None,en
867774946302451713,6258,30288,None,en
867421006826221569,2118,14355,None,en
867072653475098625,101,0,None,en
867051520902168576,6792,28728,None,en
866720684873056260,4133,17882,None,en
866686824827068416,2973,17143,None,en
866450705531457537,30222,108951,None,en
866334964761202691,12218,46650,None,en
866094527597207552,7172,0,None,en
865718153858494464,4853,22948,None,en
865359393868664832,4295,23627,None,en
865006731092295680,6677,25057,None,en
864873206498414592,7498,28881,None,en
864279568663928832,2585,13079,None,en
864197398364647424,7594,26657,None,en
863907417377173506,3594,18457,None,en
863553081350529029,3635,13692,None,en
863471782782697472,2092,0,None,en
863432100342583297,4561,21324,None,en
863427515083354112,80,1961,None,en
863079547188785154,953,7911,None,en
863062471531167744,2092,7532,None,en
862831371563274240,4461,17228,None,en
862722525377298433,3091,15348,None,en
862457590147678208,4258,18297,None,en
862096992088072192,20017,66360,None,en
861383897657036800,9275,32323,None,en
861288531465048066,3594,15363,None,en
861005113778896900,3340,15005,None,en
860981674716409858,1858,0,None,en
860924035999428608,679,0,None,en
860563773140209665,1858,6732,None,en
860524505164394496,4608,21280,None,en
860276583193509888,3075,16597,None,en
860184849394610176,5129,15032,None,en
860177593139703809,26778,0,None,in
859924526012018688,3587,17655,None,en
859851578198683649,3072,13987,None,en
859607811541651456,1366,16848,None,en
859196978902773760,26304,80633,None,en
859074603037188101,11982,30463,None,en
858860390427611136,7091,0,None,en
858843525470990336,3029,14136,None,en
858471635011153920,4267,19509,None,en
858107933456039936,2540,14255,None,en
857989990357356544,2269,14504,None,en
857746408056729600,9360,30842,None,en
857393404942143489,1444,5316,None,en
857263160327368704,3986,18272,None,en
857214891891077121,16,204,None,en
857062103051644929,148,0,None,en
857029823797047296,3493,17063,None,en
856543823941562368,2551,14854,None,en
856526610513747968,1654,10833,None,en
856288084350160898,15,488,None,en
856282028240666624,5586,25267,None,en
855862651834028034,21,303,None,en
855860136149123072,853,4412,None,en
855857698524602368,1864,10869,None,en
855851453814013952,16143,41929,None,en
855818117272018944,4820,24298,None,en
855459453768019968,7313,27132,None,en
855245323840757760,5274,0,None,en
855138241867124737,36,0,None,en
854732716440526848,5362,20712,None,en
854482394044301312,6036,26620,None,en
854365224396361728,4157,17226,None,en
854120357044912130,6602,29268,None,en
854010172552949760,2797,14848,None,en
853760880890318849,5118,26118,None,en
853639147608842240,8892,31594,None,en
853299958564483072,3174,14188,None,en
852936405516943360,1790,0,None,en
852912242202992640,1602,8266,None,en
852672615818899456,1915,13662,None,en
852553447878664193,3124,14921,None,en
852311364735569921,8890,30399,None,en
852226086759018497,6104,18373,None,en
852189679701164033,1420,10581,None,en
851591660324737024,3129,14982,None,en
851464819735769094,6323,22296,None,en
851224888060895234,5178,19074,None,en
850753642995093505,8097,28194,None,en
850380195714523136,2335,12097,None,en
850333567704068097,301,3195,None,en
850145622816686080,3402,15070,None,en
850019790995546112,4382,18810,None,en
849776966551130114,6833,27954,None,en
849668094696017920,4455,0,None,en
849412302885593088,2836,14694,None,en
849336543269576704,1695,10576,None,en
849051919805034497,7644,39077,None,en
848690551926992896,3933,23308,None,en
848324959059550208,4167,22870,None,en
848213670039564288,646,7548,None,en
848212111729840128,2722,15059,None,en
847978865427394560,2929,0,None,en
847971574464610304,396,0,None,en
847962785489326080,4588,21766,None,en
847842811428974592,1193,5022,None,en
847617282490613760,376,6475,None,en
847606175596138505,3096,17379,None,en
847251039262605312,3925,19005,None,en
847157206088847362,5265,18407,None,en
847116187444137987,2881,19903,None,en
846874817362120707,3556,18655,None,en
846514051647705089,10408,41277,None,en
846505985330044928,2766,13098,None,en
846153765933735936,8190,29146,None,en
846139713627017216,9180,28861,None,en
846042936437604353,2595,14843,None,en
845812042753855489,7886,27076,None,en
845677943972139009,4389,23483,None,en
845397057150107648,1622,7091,None,en
845306882940190720,4871,21666,None,en
845098359547420673,6955,0,None,en
844979544864018432,2318,12701,None,en
844973813909606400,2862,13955,None,en
844580511645339650,2822,15313,None,en
844223788422217728,1994,12721,None,en
843981021012017153,2703,14155,None,en
843856843873095681,4176,19998,None,en
843604394117681152,2485,15740,None,en
843235543001513987,5430,20013,None,en
842846295480000512,3319,14245,None,en
842765311967449089,1177,6304,None,en
842535590457499648,3191,16953,None,en
842163532590374912,5274,22782,None,en
842115215311396866,2764,13061,None,en
841833993020538882,13606,0,None,en
841680585030541313,7173,24081,None,en
841439858740625411,3341,11762,None,en
841320156043304961,5031,18449,None,en
841314665196081154,4246,14777,None,en
841077006473256960,4896,21375,None,en
840761248237133825,1622,0,None,en
840728873075638272,14625,0,None,en
840698636975636481,2,165,None,en
840696689258311684,892,11506,None,en
840632337062862849,1622,8443,None,en
840370681858686976,4188,15364,None,en
840268004936019968,5234,17940,None,en
839990271299457024,2073,12562,None,en
839549326359670784,7091,25633,None,en
839290600511926273,133,0,None,en
839239871831150596,5957,25277,None,en
838952994649550848,3668,18411,None,en
838921590096166913,1859,10440,None,en
838916489579200512,31,0,None,en
838831947270979586,10059,0,None,en
838561493054533637,1234,10267,None,en
838476387338051585,4355,21005,None,en
838201503651401729,9228,0,None,en
838150277551247360,304,1570,None,und
838085839343206401,1,133,None,en
838083903487373313,2851,16499,None,en
837820167694528512,7172,31894,None,en
837482249356513284,409,3616,None,en
837471256429613056,2065,12010,None,en
837110210464448512,2186,15090,None,en
836989968035819520,2121,11980,None,en
836753516572119041,4272,18170,None,en
836677758902222849,2028,11867,None,en
836648853927522308,509,0,None,en
836397794269200385,25145,0,None,en
836380477523124226,2750,13930,None,en
836260088725786625,3989,19991,None,en
836001077879255040,3903,17939,None,en
835685285446955009,7441,0,None,en
835574547218894849,3307,16693,None,en
835536468978302976,1548,0,None,en
835309094223372289,19215,0,None,en
835297930240217089,2748,15466,None,en
835264098648616962,1548,7251,None,en
835246439529840640,63,1992,None,en
835172783151792128,5308,24621,None,en
835152434251116546,2765,20991,None,en
834931633769889797,1496,10127,None,en
834786237630337024,5118,20258,None,en
834574053763584002,2319,12840,None,en
834477809192075265,9794,0,None,en
834458053273591808,1553,9049,None,en
834209720923721728,4341,19295,None,en
834167344700198914,3372,14853,None,en
834089966724603904,1971,9466,None,en
834086379323871233,2045,12269,None,en
833863086058651648,2216,12650,None,en
833826103416520705,3495,17102,None,en
833732339549220864,205,0,None,en
833722901757046785,3005,19727,None,en
833479644947025920,1895,14041,None,en
833124694597443584,4455,19023,None,en
832998151111966721,2026,12461,None,en
832769181346996225,38,0,None,en
832757312314028032,3328,15881,None,en
832682457690300417,2670,11167,None,en
832645525019123713,485,2745,None,en
832636094638288896,2570,14936,None,en
832397543355072512,2040,11265,None,en
832369877331693569,2929,16113,None,en
832273440279240704,2150,10670,None,en
832215909146226688,5738,0,None,en
832215726631055365,8604,0,None,en
832088576586297345,2,59,None,en
832040443403784192,8843,0,None,en
832032802820481025,4309,16800,None,en
831939777352105988,5669,22510,None,en
831926988323639298,34,319,None,en
831911600680497154,5994,25895,None,en
831670449226514432,1690,9813,None,en
831650051525054464,1790,6695,None,en
831552930092285952,2165,8473,None,en
831322785565769729,1447,8765,None,en
831315979191906304,1040,6183,None,en
831309418084069378,2275,11113,None,en
831262627380748289,1895,11190,None,en
830956169170665475,1379,7527,None,en
830583320585068544,15443,62549,None,en
830173239259324417,5255,0,None,en
830097400375152640,2706,9184,None,en
829878982036299777,4617,0,None,en
829861396166877184,1797,11546,None,en
829501995190984704,9794,29938,None,en
829449946868879360,1864,9898,None,en
829141528400556032,6785,22943,None,en
829011960981237760,15137,50338,None,en
828801551087042563,3169,0,None,en
828770345708580865,5407,24134,None,en
828708714936930305,10351,34316,None,en
828650029636317184,1243,8968,None,en
828409743546925057,1082,6051,None,en
828408677031882754,1189,7263,None,en
828381636999917570,2065,11890,None,en
828376505180889089,996,6992,None,en
828372645993398273,2730,11884,None,en
828361771580813312,165,2073,None,en
828046555563323392,2660,11071,None,en
828011680017821696,2000,9786,None,en
827933404142436356,4843,18879,None,en
827653905312006145,2798,14611,None,en
827600520311402496,865,7064,None,en
827324948884643840,2812,14970,None,en
827199976799354881,2064,10012,None,en
826958653328592898,4616,20325,None,en
826848821049180160,9356,34080,None,en
826615380357632002,3686,0,None,en
826598799820865537,230,4865,None,en
826598365270007810,2183,9460,None,en
826476773533745153,3896,17394,None,en
826240494070030336,2423,12540,None,en
826204788643753985,856,4602,None,en
826115272272650244,2875,14751,None,en
825876512159186944,1738,9930,None,en
825829644528148480,2338,12034,None,en
825535076884762624,16367,54012,None,en
825147591692263424,4190,17276,None,en
825120256414846976,1168,0,None,en
825026590719483904,1168,5915,None,en
824796380199809024,5108,0,None,en
824775126675836928,3278,14072,None,en
824663926340194305,1649,9946,None,en
824325613288833024,9898,11188,None,en
